,benchmark,dataset,name,run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
558,cBench,4,automotive_susan_c,3,0.1741,0.1831,0.1941,0.1811,0.1801,0.1801,0.1891,0.1761,0.1961,0.1901,0.1881,0.1731,0.1801,0.1731,0.1821,0.1811,0.1931,0.1891,0.2021,0.1791,0.1841,0.1761,0.1971,0.1801,0.1741,0.1871,0.1861,0.1701,0.1691,0.1831,0.1821,0.1951,0.1821,0.1911,0.1771,0.1921,0.1761,0.1801,0.1881,0.1741,0.1911,0.1701,0.1851,0.1661,0.1871,0.1891,0.1781,0.1891,0.1831,0.1811,0.1821,0.1951,0.2021,0.1831,0.1821,0.1891,0.1891,0.1711,0.1791,0.1811,0.2011,0.1831,0.1811,0.1661,0.1781,0.1811,0.1781,0.1831,0.1871,0.1781,0.1761,0.1901,0.1941,0.2021,0.1811,0.1721,0.1801,0.1931,0.1781,0.1731,0.1821,0.1781,0.1771,0.1631,0.1861,0.1851,0.1811,0.1771,0.1861,0.1801,0.1991,0.1841,0.1801,0.1901,0.1821,0.1791,0.1761,0.1771,0.1751,0.1781,0.1751,0.1891,0.1771,0.1831,0.1841,0.1771,0.1821,0.1791,0.1881,0.1721,0.1791,0.1761,0.1901,0.1761,0.1831,0.1811,0.1811,0.1941,0.1771,0.1841,0.1751,0.1801,0.1821,0.1961,0.1851,0.1831,0.1861,0.1861
559,cBench,5,automotive_susan_c,3,1.3411,1.3351,1.5341,1.4211,1.4111,1.3481,1.2941,1.3341,1.5331,1.4131,1.4171,1.3351,1.2991,1.3391,1.4611,1.4261,1.5391,1.4001,1.5361,1.4041,1.4321,1.3511,1.4191,1.4431,1.3601,1.4351,1.2871,1.3491,1.2771,1.4651,1.4181,1.5421,1.3911,1.5511,1.3971,1.4201,1.3431,1.4291,1.3951,1.3761,1.4471,1.3011,1.3331,1.2931,1.4131,1.4651,1.4011,1.4781,1.4221,1.4171,1.4241,1.3891,1.5441,1.3911,1.4091,1.3571,1.4181,1.3451,1.4471,1.3441,1.3761,1.4281,1.3711,1.2901,1.4361,1.4551,1.4191,1.4581,1.4401,1.4061,1.4201,1.3931,1.5381,1.4111,1.4101,1.3591,1.4021,1.3581,1.3991,1.3611,1.3471,1.4021,1.3601,1.2741,1.4201,1.4401,1.4191,1.4141,1.4601,1.4741,1.4051,1.4141,1.4001,1.3791,1.3581,1.4411,1.3611,1.3681,1.3621,1.4401,1.3991,1.4131,1.3911,1.4681,1.4751,1.4111,1.4021,1.4081,1.4061,1.3591,1.4041,1.3611,1.3591,1.3601,1.4071,1.4171,1.4141,1.4811,1.4011,1.3701,1.4061,1.4031,1.4191,1.4841,1.4261,1.3601,1.3961,1.4231
560,cBench,1,telecom_CRC32,4,0.0551,0.0491,0.0531,0.0481,0.0531,0.0541,0.0531,0.0541,0.0561,0.0511,0.0511,0.0501,0.0481,0.0561,0.0561,0.0521,0.0511,0.0551,0.0561,0.0531,0.0511,0.0551,0.0571,0.0601,0.0491,0.0531,0.0561,0.0511,0.0591,0.0541,0.0481,0.0561,0.0511,0.0511,0.0541,0.0561,0.0481,0.0581,0.0551,0.0491,0.0561,0.0581,0.0521,0.0561,0.0511,0.0591,0.0531,0.0541,0.0621,0.0571,0.0561,0.0551,0.0541,0.0541,0.0581,0.0541,0.0621,0.0561,0.0541,0.0591,0.0571,0.0551,0.0581,0.0531,0.0561,0.0571,0.0541,0.0571,0.0581,0.0561,0.0811,0.0531,0.0541,0.0571,0.0541,0.0491,0.0591,0.0581,0.0531,0.0531,0.0541,0.0581,0.0531,0.0561,0.0531,0.0521,0.0571,0.0611,0.0561,0.0541,0.0551,0.0531,0.0601,0.0551,0.0531,0.0601,0.0571,0.0521,0.0551,0.0581,0.0581,0.0561,0.0561,0.0591,0.0561,0.0531,0.0551,0.0581,0.0581,0.0551,0.0561,0.0561,0.0561,0.0561,0.0591,0.0561,0.0531,0.0601,0.0531,0.0561,0.0571,0.0571,0.0551,0.0601,0.0571,0.0551,0.0561,0.0591
561,cBench,2,telecom_CRC32,4,3.4261,3.1661,3.2291,3.0751,3.4081,3.3201,2.9811,3.2441,3.2261,3.2601,3.1711,3.3401,3.4331,3.3991,3.2771,3.1181,3.5151,3.3541,3.5271,3.1671,3.6731,3.0021,3.3151,3.3181,3.1761,3.3861,3.3991,3.3771,3.3521,3.2881,3.5261,3.2961,3.3591,3.6091,3.1711,3.3351,2.9911,3.2391,3.1751,2.9951,3.3251,3.3981,3.2451,3.3991,3.1631,3.6211,3.3691,3.5541,3.4911,3.4211,3.5501,3.6061,3.4661,3.6251,3.3801,3.0011,3.4011,3.4711,3.3191,3.5331,3.4001,3.2331,3.6231,3.3581,3.2631,3.4971,3.3541,3.4731,3.6191,3.3581,3.6121,3.4581,3.6191,3.4761,3.2331,3.1791,3.3871,3.3971,3.3101,3.4121,3.4011,3.2581,3.3981,3.5611,3.4881,3.3591,3.4101,3.4681,3.5101,3.6211,3.3701,3.5121,3.4551,3.6211,3.3981,3.3211,3.4001,3.4431,3.5531,3.5421,3.3661,3.5571,3.4521,3.4911,3.4531,3.5431,3.4901,3.4671,3.4511,3.3931,3.3961,3.5381,3.3581,3.5641,3.6251,3.2681,3.6251,3.6201,3.5461,3.3651,3.4531,3.7751,3.4491,3.4781,3.4631,3.4531,3.5461,3.5451
562,cBench,3,telecom_CRC32,4,0.2191,0.2221,0.2111,0.2221,0.2051,0.2141,0.2241,0.2111,0.1971,0.1991,0.2191,0.2201,0.2101,0.2161,0.2141,0.2081,0.2271,0.2191,0.2261,0.2031,0.2161,0.2051,0.2401,0.2181,0.2231,0.2221,0.2201,0.2161,0.2281,0.2171,0.1981,0.2271,0.2211,0.2261,0.1991,0.2181,0.1931,0.2151,0.2171,0.2201,0.2381,0.2171,0.2391,0.2301,0.2041,0.2341,0.2161,0.2291,0.2271,0.2181,0.2151,0.2321,0.2321,0.2311,0.2201,0.1961,0.2081,0.2231,0.2201,0.2261,0.2231,0.2131,0.2271,0.2271,0.2951,0.2261,0.2161,0.2261,0.2311,0.2201,0.2291,0.2321,0.2261,0.2211,0.2211,0.1971,0.2091,0.2241,0.2171,0.2191,0.2281,0.2171,0.2221,0.2331,0.2231,0.2191,0.2251,0.2171,0.2311,0.2321,0.2251,0.2281,0.2281,0.2261,0.2201,0.2031,0.2171,0.2291,0.2201,0.2311,0.2201,0.2161,0.2231,0.2281,0.2361,0.2321,0.2271,0.2241,0.2361,0.2181,0.3371,0.2321,0.2181,0.2261,0.2241,0.2291,0.2321,0.2301,0.2341,0.2261,0.2211,0.2301,0.2291,0.2211,0.2361,0.2211,0.2331,0.2241
563,cBench,4,telecom_CRC32,4,0.3601,0.3831,0.3461,0.3441,0.3491,0.3801,0.3361,0.3751,0.3471,0.3541,0.3831,0.3741,0.3361,0.3741,0.3571,0.3671,0.3941,0.3741,0.4011,0.3521,0.3731,0.3371,0.3801,0.3651,0.3591,0.3741,0.3861,0.3531,0.3861,0.3571,0.3831,0.4181,0.3781,0.3701,0.3721,0.3701,0.3551,0.3791,0.3831,0.3561,0.3751,0.3941,0.3801,0.3991,0.4931,0.3921,0.3791,0.4031,0.3961,0.3821,0.4021,0.3881,0.4061,0.3891,0.3721,0.3311,0.3641,0.4041,0.3701,0.3941,0.3971,0.3731,0.3901,0.3831,0.3611,0.4041,0.3741,0.3951,0.3931,0.3801,0.3911,0.3901,0.3881,0.3931,0.3641,0.3811,0.3721,0.3881,0.3671,0.3831,0.3871,0.3741,0.3821,0.3861,0.3681,0.3841,0.3961,0.3931,0.3941,0.3841,0.3871,0.3951,0.3991,0.3951,0.3851,0.3581,0.3841,0.3861,0.3751,0.3951,0.3741,0.3711,0.3871,0.4041,0.3971,0.3901,0.3981,0.4061,0.4081,0.3771,0.4071,0.3991,0.3821,0.3991,0.4031,0.3971,0.3821,0.3851,0.3981,0.3981,0.3981,0.4061,0.3851,0.3891,0.3881,0.3831,0.4081,0.3871
564,cBench,5,telecom_CRC32,4,0.3491,0.3481,0.3701,0.3461,0.3431,0.3721,0.3561,0.3741,0.4181,0.3441,0.3751,0.3831,0.3391,0.3811,0.3591,0.3741,0.4071,0.3741,0.3691,0.3481,0.3701,0.3361,0.3761,0.3831,0.3351,0.3661,0.3881,0.3651,0.3801,0.4451,0.3791,0.3941,0.3851,0.4061,0.3481,0.3721,0.3551,0.3711,0.3671,0.3551,0.3801,0.3841,0.3751,0.3951,0.3541,0.3971,0.3731,0.3931,0.3961,0.3851,0.3651,0.3881,0.3991,0.3871,0.3741,0.3861,0.3701,0.3971,0.3741,0.3851,0.3891,0.3751,0.3891,0.3741,0.3521,0.4061,0.3781,0.3871,0.3891,0.3771,0.3951,0.3841,0.3871,0.3931,0.3551,0.3371,0.3831,0.3831,0.4101,0.3881,0.3831,0.3651,0.3821,0.3971,0.4061,0.3791,0.3891,0.4031,0.3961,0.3851,0.3901,0.4011,0.3791,0.4051,0.3771,0.4091,0.3771,0.3961,0.3901,0.3701,0.3791,0.3881,0.3861,0.3951,0.3881,0.4061,0.3911,0.3961,0.3801,0.3791,0.3641,0.3991,0.3971,0.3781,0.3881,0.3911,0.4051,0.3971,0.3871,0.3801,0.3791,0.3881,0.3951,0.4071,0.4121,0.3761,0.3971,0.3881
565,cBench,1,security_rijndael_d,4,0.0141,0.0141,0.0131,0.0131,0.0141,0.0121,0.0131,0.0091,0.0121,0.0131,0.0121,0.0141,0.0131,0.0141,0.0141,0.0131,0.0141,0.0121,0.0151,0.0131,0.0121,0.0121,0.0141,0.0121,0.0131,0.0131,0.0121,0.0141,0.0121,0.0141,0.0151,0.0131,0.0131,0.0151,0.0131,0.0141,0.0141,0.0151,0.0141,0.0141,0.0131,0.0111,0.0151,0.0151,0.0141,0.0131,0.0141,0.0121,0.0141,0.0131,0.0141,0.0111,0.0101,0.0141,0.0141,0.0141,0.0111,0.0121,0.0141,0.0131,0.0141,0.0141,0.0151,0.0151,0.0171,0.0111,0.0141,0.0131,0.0141,0.0121,0.0131,0.0141,0.0141,0.0161,0.0121,0.0131,0.0141,0.0131,0.0141,0.0131,0.0131,0.0141,0.0151,0.0131,0.0131,0.0131,0.0131,0.0131,0.0161,0.0151,0.0131,0.0141,0.0121,0.0141,0.0141,0.0141,0.0141,0.0121,0.0151,0.0111,0.0151,0.0141,0.0141,0.0141,0.0141,0.0131,0.0121,0.0161,0.0141,0.0131,0.0151,0.0141,0.0151,0.0111,0.0131,0.0131,0.0151,0.0141,0.0141,0.0141,0.0151,0.0151,0.0141,0.0111,0.0121,0.0151,0.0141,0.0141
566,cBench,2,security_rijndael_d,4,0.0731,0.0701,0.0701,0.0681,0.0741,0.0751,0.0711,0.0751,0.0761,0.0691,0.0711,0.0731,0.0681,0.0811,0.0681,0.0681,0.0721,0.0671,0.0751,0.0681,0.0741,0.0661,0.0741,0.0671,0.0661,0.0721,0.0661,0.0781,0.0731,0.0661,0.0641,0.0661,0.0711,0.0761,0.0701,0.0671,0.0691,0.0771,0.0701,0.0711,0.0761,0.0691,0.0721,0.0721,0.0671,0.0721,0.0691,0.0721,0.0691,0.0701,0.0771,0.0671,0.0761,0.0681,0.0681,0.0651,0.0731,0.0731,0.0701,0.0691,0.0701,0.0731,0.0761,0.0671,0.0711,0.0691,0.0731,0.0731,0.0671,0.0701,0.0721,0.0691,0.0791,0.0691,0.0651,0.0681,0.0741,0.0661,0.0731,0.0691,0.0741,0.0771,0.0771,0.0711,0.0711,0.0681,0.0721,0.0671,0.0781,0.0701,0.0731,0.0721,0.0721,0.0661,0.0661,0.0791,0.0701,0.0761,0.0741,0.0691,0.0691,0.0801,0.0671,0.0701,0.0721,0.0671,0.0781,0.0721,0.0681,0.0711,0.0771,0.0731,0.0721,0.0761,0.0691,0.0821,0.0731,0.0671,0.0781,0.0801,0.0671,0.0771,0.0821,0.0701,0.0791,0.0731,0.0751,0.0751
567,cBench,3,security_rijndael_d,4,0.1411,0.1581,0.1481,0.1491,0.1481,0.1451,0.1421,0.1701,0.1441,0.1461,0.1461,0.1451,0.1431,0.1601,0.1351,0.1441,0.1471,0.1471,0.1581,0.1431,0.1411,0.1361,0.1571,0.1641,0.1441,0.1541,0.1431,0.1581,0.1501,0.1411,0.1431,0.1391,0.1431,0.1491,0.1491,0.1441,0.1581,0.1601,0.1431,0.1441,0.1561,0.1451,0.1631,0.1561,0.1381,0.1431,0.1371,0.1581,0.1401,0.1471,0.1501,0.1451,0.1621,0.1511,0.1421,0.1471,0.1571,0.1401,0.1531,0.1541,0.1491,0.1581,0.1601,0.1491,0.1411,0.1441,0.1381,0.1601,0.1601,0.1401,0.1551,0.1451,0.1581,0.1541,0.1461,0.1491,0.1581,0.1451,0.1571,0.1501,0.1471,0.1571,0.1541,0.1471,0.1411,0.1451,0.1541,0.1441,0.1531,0.1481,0.1371,0.1581,0.1551,0.1491,0.1451,0.1521,0.1511,0.1431,0.1691,0.1401,0.1431,0.1551,0.1371,0.1541,0.1461,0.1401,0.1531,0.1471,0.1561,0.1451,0.1581,0.1591,0.1451,0.1661,0.1421,0.1541,0.1531,0.1431,0.1531,0.1541,0.1461,0.1661,0.1531,0.1501,0.1541,0.1551,0.1511,0.1601
568,cBench,4,security_rijndael_d,4,3.8831,3.9211,3.8371,3.9241,3.9011,3.9111,3.9911,4.3341,4.0121,4.0011,3.8811,3.9491,3.9871,4.2551,3.8571,3.8431,3.8171,3.8391,4.3351,3.9011,3.9111,3.9501,4.2371,3.8631,3.9101,4.1941,3.8211,4.2051,4.0321,3.7831,3.9381,3.8361,3.7981,4.2311,3.9381,3.9061,3.8831,4.2071,3.8771,3.8081,4.2091,3.7961,4.2411,4.1511,3.8951,3.8051,3.9821,4.1561,3.9481,3.8501,4.3921,3.7801,4.2151,4.0191,3.8891,3.9191,4.2511,4.0741,4.1841,4.0481,4.1371,4.2111,4.1951,4.0041,3.8351,3.7811,3.8711,4.2271,3.9521,3.7991,4.1771,3.9211,4.2201,4.0071,3.9761,3.9421,4.2231,3.8451,4.1831,3.9931,3.8121,4.2411,4.4551,3.9991,3.8411,3.8471,4.3951,3.8761,4.1681,4.0581,3.8091,4.1161,5.0621,3.9881,3.8371,4.2181,4.1331,4.0441,4.1291,3.7791,3.7871,4.1441,3.8791,4.1331,3.9801,3.8221,4.1191,4.1491,3.9681,3.8031,4.1891,4.3211,4.2201,4.4801,3.7921,4.1451,4.1211,4.0851,4.1541,4.1531,3.8031,4.1461,4.1231,4.0021,4.1281,4.1401,4.1811,4.1121
569,cBench,5,security_rijndael_d,4,0.2741,0.2901,0.3101,0.2731,0.2791,0.2921,0.2661,0.3001,0.2811,0.2621,0.2871,0.2751,0.2671,0.2781,0.2621,0.2721,0.2821,0.3141,0.3031,0.2821,0.2751,0.2671,0.3141,0.2801,0.2831,0.2861,0.2681,0.3191,0.2871,0.2641,0.2761,0.2731,0.2631,0.2901,0.2701,0.2901,0.2711,0.3161,0.2731,0.2661,0.2971,0.2661,0.2931,0.2971,0.2691,0.2731,0.2791,0.2841,0.2661,0.2621,0.2831,0.2871,0.2931,0.2851,0.2731,0.2821,0.2941,0.2771,0.2851,0.2811,0.2781,0.2851,0.2821,0.2831,0.2801,0.2651,0.2691,0.2911,0.2671,0.2711,0.2921,0.2581,0.2951,0.2961,0.2861,0.2651,0.3011,0.2691,0.2951,0.2811,0.2631,0.2921,0.3351,0.2791,0.2751,0.2711,0.2881,0.2691,0.2821,0.2921,0.2681,0.3231,0.2901,0.3191,0.2801,0.2971,0.3241,0.2961,0.2931,0.2771,0.2851,0.2881,0.2681,0.2891,0.2791,0.2611,0.2871,0.2961,0.2801,0.2761,0.3031,0.2851,0.3291,0.2891,0.2561,0.2871,0.3031,0.2741,0.3151,0.3121,0.2681,0.2881,0.2891,0.2781,0.2761,0.2841,0.2881,0.2981
570,cBench,1,automotive_bitcount,4,6.3301,5.6761,6.7701,6.2271,5.7151,5.6831,4.2001,5.7331,6.7671,5.6221,5.8361,5.7731,4.2101,5.6731,7.0731,7.0061,6.7631,4.1691,6.9591,5.7081,5.5831,4.2351,5.6271,5.7191,4.1751,5.5611,4.2061,5.7361,4.2091,7.0751,7.0041,6.7821,4.2041,6.7611,5.7081,5.5901,4.2261,5.6991,5.7101,4.1911,5.5501,4.1971,5.6801,4.2061,7.0121,7.1261,4.1681,7.0731,7.0081,4.2521,7.0151,4.2031,6.7661,4.2661,5.7141,4.2281,5.6181,4.2411,5.6301,4.2241,4.1951,5.5451,4.1791,4.2181,7.0061,7.0711,4.2581,7.0761,7.0301,4.2731,7.0081,4.2041,6.7681,4.2431,5.8651,4.1731,5.5531,4.2171,5.6401,4.2271,4.1721,5.5961,4.2271,4.2121,7.0091,4.2531,7.0081,4.2571,7.1251,4.3021,4.2601,7.0101,4.2531,4.2501,4.2321,5.5501,4.2191,4.2271,4.2111,7.0341,4.2691,7.0071,4.2231,7.0761,4.2451,4.2651,7.0331,4.2511,4.2141,4.2231,5.5561,4.1701,4.2281,4.2181,4.2451,7.0081,4.2451,4.1531,4.2441,4.1791,4.2711,7.1281,4.2651,4.2621,4.2571,4.1821,4.2551,4.2471
571,cBench,2,automotive_bitcount,4,10.8821,11.1991,13.1031,10.8041,11.0721,10.8611,8.1271,11.0031,13.0941,10.8891,11.0391,11.0541,8.1131,10.9601,13.6881,13.6101,13.1041,8.1041,13.1351,11.1191,10.7891,8.0871,10.8641,11.0321,8.4391,10.6601,8.1271,11.0361,8.4711,13.6841,13.5621,13.1001,8.0751,13.0661,11.0331,10.9151,8.1641,10.8051,11.1071,8.4641,10.7581,8.1201,10.9311,8.4831,13.6121,13.6911,8.2601,13.6941,13.5581,8.1521,13.5611,8.1121,13.1301,8.1111,11.0771,8.5151,10.7551,8.1621,10.8971,8.3661,8.5131,10.6941,8.5581,8.5011,13.5631,13.6911,8.2271,13.6901,13.5651,8.1391,13.5641,8.1161,13.0571,8.1341,11.3371,8.4511,10.7061,8.1941,10.8611,8.5301,8.5731,10.7171,8.4321,8.4821,13.6091,8.1471,13.5601,8.2231,13.6871,8.2301,8.1651,13.5651,8.1881,8.1381,8.5481,10.7021,8.4241,8.5161,8.5421,13.5611,8.2191,13.6301,8.2511,13.7831,8.0691,8.1691,13.6101,8.1681,8.1971,8.4621,10.6641,8.5281,8.5501,8.4321,8.2201,13.5641,8.1391,8.2111,8.1931,8.4371,8.1641,13.6101,8.1531,8.0831,8.1621,8.5661,8.1681,8.1711
572,cBench,3,automotive_bitcount,4,16.5211,16.4211,19.6491,16.0521,16.4141,16.5811,12.1481,16.3151,19.5811,16.0491,16.4341,16.2011,12.1231,16.3321,20.6131,20.2981,19.4971,12.3501,19.5591,16.4331,16.1031,12.1621,16.0711,16.4221,12.6281,15.9141,12.1091,16.3271,12.7151,20.4171,20.2301,19.6291,12.3651,20.1641,16.4231,16.0741,12.0441,16.1181,16.4941,12.6271,16.1731,12.1491,16.5341,12.6711,20.2321,20.5541,12.3731,20.4151,20.2311,12.4711,20.2321,12.4591,20.2401,12.3191,16.6421,12.7011,15.8351,12.0321,16.3411,12.7071,12.6231,15.9291,12.6241,12.6561,20.2971,20.5501,12.5171,20.4861,20.2331,12.4511,20.2311,12.4631,19.5841,12.3051,16.4211,12.6951,16.0881,12.1761,16.2321,12.6881,12.6671,15.8661,12.7361,12.6481,20.2291,12.4701,20.2291,12.5201,20.4161,12.5581,12.4741,20.2961,12.5361,12.5081,12.6301,15.9311,12.7601,12.7381,12.6071,20.2311,12.6401,20.2441,12.5521,20.5521,12.1881,12.4671,20.2311,12.4721,12.5211,12.6361,16.0751,12.6661,12.6891,12.6931,12.5021,20.2301,12.5301,12.3411,12.4691,12.7141,12.5161,20.2261,12.3421,12.5831,12.5171,12.6791,12.5451,12.4861
573,cBench,4,automotive_bitcount,4,21.5541,21.5411,26.0051,21.3841,21.8591,22.1691,16.1721,21.9561,28.0821,21.3331,21.9021,21.7861,16.1321,21.7411,27.2131,26.9701,26.0821,16.8911,26.0821,22.0241,24.2841,16.0481,21.6071,21.9001,16.7741,21.1831,16.1731,21.7221,16.8681,27.2111,27.0601,26.0881,16.9241,26.0841,21.8581,21.3711,16.2611,21.6911,21.8611,16.7661,21.1851,16.1781,22.0141,16.7041,27.0601,27.2151,17.0841,27.3611,27.0571,17.0151,27.0621,16.8541,26.0931,17.1961,21.8161,16.6751,21.7671,16.0441,21.6051,16.4721,16.8101,21.1731,16.7591,16.7091,26.9661,27.2131,16.3931,27.2131,26.9691,17.0381,26.9691,17.0551,27.0491,17.1521,21.8711,16.6781,21.0411,16.2001,21.4971,16.8371,16.6801,21.1891,16.7001,16.7171,26.9681,17.3031,26.9631,17.3301,27.4211,16.9461,17.0611,26.9701,17.1791,16.6321,16.7621,21.0021,16.7091,16.7241,16.7151,26.9681,17.0471,26.9671,17.3131,27.2131,17.3141,17.2621,27.0611,17.2481,17.0711,16.6791,21.1991,16.6991,16.7931,16.7491,17.1151,26.9661,17.0581,16.8341,17.0281,16.7211,17.0261,26.9691,17.0791,16.9281,17.0501,16.6771,17.3521,17.1911
574,cBench,5,automotive_bitcount,4,26.9921,26.9941,32.5891,26.7971,27.3101,30.7801,20.1961,26.9521,32.6201,27.4651,27.3591,30.6151,20.1901,27.2871,34.2921,33.7571,32.6101,22.1071,32.6681,27.3631,26.7111,20.1581,27.0771,27.2741,20.8961,26.4991,20.1921,27.2191,20.7511,34.3181,33.7631,32.6521,21.3781,32.5541,27.3581,26.7571,20.3011,26.8971,27.5211,20.8611,26.4771,20.1981,27.2111,20.7781,33.7631,34.0671,22.0961,34.0661,33.7631,21.8311,33.7631,21.4661,32.6701,22.0061,27.3701,20.8111,26.4831,20.2831,27.2991,20.8731,20.8021,26.2741,20.9151,20.8001,33.7611,34.0681,21.6551,34.0641,33.7611,22.2371,33.8741,21.4731,32.6671,22.3271,27.3241,20.8921,26.5011,20.0941,26.8881,20.8601,20.7961,26.5781,20.8541,20.7661,33.7631,22.2221,33.7861,22.5151,34.1781,22.1411,22.5191,33.7601,22.1571,22.6961,20.7691,26.6401,20.8901,20.8361,20.7851,33.7601,21.4471,33.7591,21.6821,34.1771,21.4841,21.6411,33.8741,21.6331,20.8631,20.8291,26.8741,20.9541,20.8631,20.9281,21.9891,33.7611,21.6281,21.5741,21.6321,20.8821,21.7711,33.7621,22.2541,20.6871,21.9971,20.9131,22.1541,21.6251
575,cBench,1,consumer_tiffmedian,4,0.1181,0.1151,0.1351,0.1391,0.1301,0.1171,0.1121,0.1221,0.1281,0.1301,0.1381,0.1301,0.1071,0.1361,0.1341,0.1431,0.1331,0.1191,0.1341,0.1351,0.1311,0.1231,0.1431,0.1281,0.1261,0.1441,0.1151,0.1211,0.1071,0.1441,0.1451,0.1191,0.1211,0.1391,0.1391,0.1271,0.1231,0.1331,0.1381,0.1171,0.1341,0.1131,0.1351,0.1161,0.1371,0.1291,0.1351,0.1351,0.1501,0.1261,0.1351,0.1301,0.1301,0.1201,0.1341,0.1201,0.1431,0.1271,0.1301,0.1261,0.1201,0.1401,0.1181,0.1161,0.1361,0.1431,0.1281,0.1351,0.1361,0.1231,0.1431,0.1131,0.1281,0.1141,0.1311,0.1191,0.1321,0.1291,0.1351,0.1221,0.1251,0.1371,0.1321,0.1141,0.1361,0.1291,0.1351,0.1311,0.1411,0.1261,0.1291,0.1351,0.1251,0.1211,0.1271,0.1331,0.1281,0.1191,0.1261,0.1391,0.1271,0.1361,0.1221,0.1411,0.1261,0.1321,0.1401,0.1281,0.1151,0.1231,0.1361,0.1211,0.1161,0.1261,0.1231,0.1361,0.1251,0.1311,0.1181,0.1201,0.1321,0.1461,0.1211,0.1331,0.1271,0.1371,0.1251,0.1291
576,cBench,2,consumer_tiffmedian,4,0.2021,0.1951,0.1991,0.2011,0.2141,0.1981,0.1721,0.1921,0.2121,0.2051,0.2181,0.1961,0.1741,0.1961,0.2121,0.2251,0.2101,0.1801,0.2161,0.2181,0.2021,0.1901,0.2041,0.2041,0.1901,0.2191,0.1751,0.2001,0.1831,0.2091,0.2231,0.1951,0.1831,0.2051,0.2031,0.2081,0.1911,0.2141,0.2131,0.1931,0.2131,0.1731,0.1991,0.1761,0.2211,0.2091,0.2061,0.2211,0.2131,0.1941,0.2071,0.1781,0.2071,0.1931,0.2071,0.1841,0.2041,0.1921,0.2051,0.1841,0.1921,0.2051,0.1871,0.1831,0.2171,0.2131,0.2001,0.2361,0.2161,0.1961,0.2171,0.1871,0.2081,0.1801,0.2221,0.1941,0.2111,0.1781,0.2051,0.1921,0.1981,0.2001,0.1821,0.1721,0.2141,0.1901,0.2081,0.2101,0.2241,0.1851,0.1951,0.2101,0.1851,0.1911,0.2011,0.2151,0.1951,0.1831,0.1851,0.2161,0.1971,0.2341,0.2091,0.2291,0.2101,0.1941,0.2081,0.1881,0.1901,0.1801,0.2181,0.1811,0.2001,0.1931,0.1981,0.2201,0.1981,0.1881,0.1971,0.1851,0.1971,0.2191,0.1931,0.1881,0.1971,0.1971,0.1841,0.1961
577,cBench,3,consumer_tiffmedian,4,7.5791,8.5791,7.5761,7.7541,7.7351,8.4321,7.4821,7.9301,7.5381,7.7121,7.7671,9.0631,7.5561,7.7361,7.7351,7.8391,7.5421,7.5771,8.1981,9.4291,7.4881,7.5581,7.5871,7.6411,7.4561,8.1231,7.5181,7.6381,7.8711,7.8061,7.9271,7.6031,7.5341,8.0561,7.6871,7.5901,7.5101,8.1821,7.6681,7.7121,7.7021,8.0591,7.7591,7.6291,7.8881,7.7161,9.4231,7.5471,7.9351,9.5081,7.5231,7.6211,7.8651,7.5541,7.8141,7.5321,7.7681,7.2321,7.7781,7.5991,7.7811,7.7101,7.6941,7.6921,8.9951,7.9001,8.4231,7.5401,8.0951,7.9361,7.5301,7.6161,7.7201,7.6831,7.6881,7.6221,8.3421,7.3881,8.7261,7.5591,7.5821,8.2301,7.9961,7.7511,7.9781,7.5141,7.6121,7.7221,7.5321,7.5851,7.8651,7.5051,7.2871,7.6711,7.6081,8.8911,7.6801,7.7811,7.9551,8.4521,8.5941,7.5431,8.1811,7.5401,7.5491,8.2121,7.5701,7.2701,7.7231,7.8621,7.8051,7.9921,7.5621,7.8311,8.1831,7.5351,7.2621,7.5621,7.2481,7.5751,8.4851,7.5341,7.4061,7.5651,7.3981,7.8431,7.4101,7.2441
